CASENUMBER,CASEID,CASENO,CATEGORY,VEHNO,PSU,PSUSTRAT,VERSION,VIN,WMI,ManufacturerFullName,ManufacturerCommonName,ManufacturerParent,Make,Model,ModelYear,VehicleType,Series,Trim,Series2,Trim2,BodyClass,DoorsCount,EngineModel,DisplacementCC,TransmissionStyle,PlantCity,PlantState,PlantCountry,AdaptiveCruiseControl,ElectronicStabilityControl,ForwardCollisionWarning,LaneDepartureWarning,AntilockBrakeSystem,AutomaticEmergencyBraking,BlindSpotMonitoring,LaneKeepSystem,RearVisibilityCamera,DriverAssist,AdaptiveHeadlights,ParkAssist,ManufacturerId,PlantCompanyName,WheelBaseType,TrackWidth,GrossVehicleWeightRating,CurbWeightLB,WheelBaseIN,WheelBaseUpToIN,WheelsCount,TruckBedType,TruckBedLengthIN,TrailerTypeConnection,TrailerLengthFT,BusFloorConfigurationType,MotorcycleSuspensionType,MotorcycleChassisType,SeatsCount,SeatRowsCount,TransmissionSpeeds,DriveType,AxlesCount,AxleConfiguration,BrakeSystemType,BatteryPacksPerVehicle,BatteryModulesPerPack,BatteryCellsPerModule,BatteryType,ChargerLevel,ChargerPowerKW,EngineManufacturer,EngineStrokeCycles,EngineCylindersCount,EngineCoolingType,FuelTypePrimary,FuelTypeSecondary,FuelDeliveryInjectionType,EngineConfiguration,EnginePowerKW,EngineBrakeHP,EngineBrakeUpToHP,EngineValveTrainDesign,EngineElectrificationLevel,EngineTurbo,SeatBeltsType,Pretensioner,AirBagLocFront,AirBagLocKnee,AirBagLocSide,AirBagLocCurtain,AirBagLocSeatCushion,TractionControl,VINDecodeError,CustomMotorcycleType,TruckBodyCabType,TrailerBodyType,BusType,VehicleDescriptor,TPMS,VINDecodedOn,CASEWGT
1-11-2017-036-09,7569,36,9,2,11,8,2,JT8BH22F2T00,JT8,TOYOTA MOTOR CORPORATION,Toyota,,LEXUS,LS,1996,PASSENGER CAR,UCF20L,,400,,Sedan/Saloon,4,1UZ-FE,4000.0,,TAHARA,AICHI,JAPAN,,,,,,,,,,,,,1057,Toyota Motor Corp.,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,8,,Gasoline,,,V-Shaped,193.88,260.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,JT8BH22F*T0***,,09OCT19:08:18:22,10440.44599433350000000000
1-11-2017-037-02,7570,37,2,1,11,8,2,1N4AL3APXEC1,1N4,"NISSAN NORTH AMERICA, INC",Nissan NA,"NISSAN MOTOR COMPANY, LTD",NISSAN,Altima,2014,PASSENGER CAR,,,,,Sedan/Saloon,4,,2500.0,,SMYRNA,TENNESSEE,UNITED STATES (USA),,,,,,,,,,,,,997,Smyrna Plant,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,,,Gasoline,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,1N4AL3AP*EC***,Direct,09OCT19:08:12:15,148.71630109271600000000
1-11-2017-038-03,7642,38,3,1,11,8,2,JTDKN3DU5F04,JTD,"TOYOTA MOTOR NORTH AMERICA, INC",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,PRIUS,2015,PASSENGER CAR,ZVW30L,,,,Hatchback/Liftback/Notchback,5,2ZR-FXE+3JM,1800.0,,TSUTSUMI,AICHI,JAPAN,,,,,,,,,,,,,962,Toyota Motor Corp.,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,4,,Gasoline,Electric,Multipoint Fuel Injection (MPFI),In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),All Rows,,,0,,,,,JTDKN3DU*F0***,Direct,09OCT19:08:18:30,2849.41052148348000000000
1-11-2017-038-03,7642,38,3,2,11,8,2,WA1LFAFP8FA0,WA1,AUDI,Audi,VOLKSWAGEN AG,AUDI,Q5,2015,MULTIPURPOSE PASSENGER VEHICLE (MPV),2.0T Premium Plus,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,Flex fuel capable engine,1984,,INGOLSTADT,,GERMANY,,,,,,,,,,,,,1149,,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,,,,,,,,,,,Audi,,4,,Gasoline,Ethanol (E85),,,164.05,220.00,,,,,,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,WA1LFAFP*FA***,Indirect,09OCT19:08:19:33,2849.41052148348000000000
1-11-2017-039-04,7750,39,4,1,11,8,2,1D4GP24R14B5,1D4,FCA US LLC,Chrysler,,DODGE,Grand Caravan,2004,MULTIPURPOSE PASSENGER VEHICLE (MPV),RS,,L (Low Line),,Van,,,3300.0,,FENTON,MISSOURI,UNITED STATES (USA),,,,,,,,,,,,,994,St Louis Assembly South,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,FWD/Front Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,Multipoint Fuel Injection (MPFI),V-Shaped,,,,,,,,,,,,,,,0,,,,,1D4GP24R*4B***,,09OCT19:08:07:21,11665.02643297210000000000
1-11-2017-039-04,7750,39,4,2,11,8,2,4T1BF1FK8EU4,4T1,"TOYOTA MOTOR MANUFACTURING, KENTUCKY, INC.",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Camry,2014,PASSENGER CAR,ASV50L/GSV50L/AVV50L,,,,Sedan/Saloon,4,2AR-FE,2500.0,,,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,1088,"Toyota Motor Manufacturing, Kentucky, Inc",,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,199.85,268.00,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,All Rows,,,0,,,,,4T1BF1FK*EU***,Direct,09OCT19:08:16:03,11665.02643297210000000000
1-11-2017-040-02,7748,40,2,1,11,8,2,3N1CB51D11L4,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Sentra,2001,PASSENGER CAR,,,,,Sedan/Saloon,4,,,,,,MEXICO,,,,,,,,,,,,,999,Mexico Aguascalientes Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,3N1CB51D*1L***,,09OCT19:08:15:22,237.97610906699900000000
1-11-2017-040-02,7748,40,2,2,11,8,2,2GKFLXEK9E62,2GK,GENERAL MOTORS LLC,GM,,GMC,Terrain,2014,MULTIPURPOSE PASSENGER VEHICLE (MPV),SLT 1 AWD,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,"LEA - Flex Fuel (Gas/Alc), Aluminum, High Output",2400.0,,CAMI,ONTARIO,CANADA,,,,,,,,,,,,,984,GMNA,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,AWD/All Wheel Drive,,,Hydraulic,,,,,,,,,4,,Gasoline,Ethanol (E85),Stoichiometric gasoline direct injection (SGDI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,2GKFLXEK*E6***,Direct,09OCT19:08:13:36,237.97610906699900000000
1-11-2017-041-02,7926,41,2,1,11,8,2,1G1FB1RSXG01,1G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Camaro,2016,PASSENGER CAR,1LT,,,,Coupe,2,"LGX -  DI: Direct Injection, VVT, ALUM, GEN 2",3600.0,Automatic,LANSING - GRAND RIVER,MICHIGAN,UNITED STATES (USA),,,,,,,,,,,,,984,GMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,,,0,,,,,1G1FB1RS*G0***,Direct,09OCT19:08:09:26,268.39318231611600000000
1-11-2017-042-03,7927,42,3,1,11,8,2,1FMJU1JT4GEF,1FM,"FORD MOTOR COMPANY, USA",Ford,,FORD,Expedition,2016,MULTIPURPOSE PASSENGER VEHICLE (MPV),XLT/King Ranch,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,,3500.0,,JEFFERSON COUNTY,KENTUCKY,UNITED STATES (USA),,,,,,,,,,,,,976,Kentucky Truck,,,"Class 2F: 7,001 - 8,000 lb (3,175 - 3,629 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,Ford,,6,,Flexible Fuel Vehicle (FFV),Gasoline,,V-Shaped,272.18,365.00,,,,,Manual,,1st Row (Driver & Passenger),,1st & 2nd & 3rd Rows,,,,0,,,,,1FMJU1JT*GE***,Direct,09OCT19:08:08:26,4196.66461204708000000000
1-11-2017-043-07,7978,43,7,1,11,8,2,5J6RE48717L0,5J6,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,CR-V,2007,MULTIPURPOSE PASSENGER VEHICLE (MPV),EX-L,,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),5,K24Z1,2359.737216,Automatic,EAST LIBERTY,OHIO,UNITED STATES (USA),,,,,,,,,,,,,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,5,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,4,,Gasoline,,,In-Line,123.79,166.00,,Dual Overhead Cam (DOHC),,,,,,,,,,,0,,,,,5J6RE487*7L***,,09OCT19:08:16:30,5823.90726220291000000000
1-11-2017-043-07,7978,43,7,2,11,8,2,3N1AB6AP1BL6,3N1,"NISSAN MEXICANA, S.A. DE C.V.",Nissan Mexico,"NISSAN MOTOR COMPANY, LTD",NISSAN,Sentra,2011,PASSENGER CAR,,,,,Sedan/Saloon,4,,2000,,,,MEXICO,,,,,,,,,,,,,999,Aguascalientes Plant,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,4,,Gasoline,,,,104.40,140.00,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,3N1AB6AP*BL***,Direct,09OCT19:08:15:13,5823.90726220291000000000
1-11-2017-044-04,8051,44,4,1,11,8,2,5XXGT4L39GG0,5XX,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,KIA,Optima,2016,PASSENGER CAR,GL,JFa,,,Sedan/Saloon,4,T-GDI THETA II,2400.0,,,GEORGIA,UNITED STATES (USA),,,,,,,,,,,,,1034,"Kia Motor Manufacturing, Georgia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Gasoline,,,,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,5XXGT4L3*GG***,Direct,09OCT19:08:17:16,6382.40317365601000000000
1-11-2017-045-07,8052,45,7,1,11,8,2,5J6RE48778L0,5J6,"HONDA OF AMERICA MFG., INC.",Honda,"HONDA MOTOR CO., LTD",HONDA,CR-V,2008,MULTIPURPOSE PASSENGER VEHICLE (MPV),,EX-L,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),5,K24Z1,2359.737216,Automatic,EAST LIBERTY,OHIO,UNITED STATES (USA),,,,,,,,,,,,,988,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,5,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,4,,Gasoline,,,In-Line,123.79,166.00,,Dual Overhead Cam (DOHC),,,,,,,,,,,0,,,,,5J6RE487*8L***,Direct,09OCT19:08:16:30,8137.93844652685000000000
1-11-2017-045-07,8052,45,7,2,11,8,2,1D4GP24R77B2,1D4,FCA US LLC,Chrysler,,DODGE,Caravan/Grand Caravan,2007,MULTIPURPOSE PASSENGER VEHICLE (MPV),RS,"Base, C/V",L (Low Line),,Van,,,3300.0,,FENTON,MISSOURI,UNITED STATES (USA),,,,,,,,,,,,,994,St Louis Assembly South,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,FWD/Front Wheel Drive,,,Hydraulic,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,Overhead Valve (OHV),,,,,,,,,,,0,,,,,1D4GP24R*7B***,,09OCT19:08:07:22,8137.93844652685000000000
1-11-2017-046-02,8100,46,2,1,11,8,2,JA3AD29FX4U0,JA3,MITSUBISHI MOTORS CORPORATION (MMC),Mitsubishi,,MITSUBISHI,Lancer SportBack,2004,PASSENGER CAR,LOW,,,,Wagon,5,,2400.0,,MIZUSHIMA,,JAPAN,,,,,,,,,,,,,1052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,,,,JA3AD29F*4U***,,09OCT19:08:17:26,256.64109034170400000000
1-11-2017-046-02,8100,46,2,2,11,8,2,JF1GPAL66DH8,JF1,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Impreza,2013,PASSENGER CAR,,Sport,,,Wagon,4,,2000.0,Continuously Variable Transmission (CVT),OTA,GUNMA,JAPAN,,,,,,,,,,,,,1075,FHI (Yajima Plant ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,JF1GPAL6*DH***,Direct,09OCT19:08:17:32,256.64109034170400000000
1-11-2017-047-02,8188,47,2,1,11,8,2,1GDHG31R2212,1GD,GENERAL MOTORS LLC,GM,,GMC,Savana,2002,INCOMPLETE VEHICLE,,3500 (1 ton),,,Incomplete - Cutaway,,L31,5700.0,,WENTZVILLE,MISSOURI,UNITED STATES (USA),,,,,,,,,,,,,984,GM Truck Corp,,,"Class 2H: 9,001 - 10,000 lb (4,082 - 4,536 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,WRN,,8,,,,,V-Shaped,,,,,,,,,,,,,,,0,,,,,1GDHG31R*21***,,09OCT19:08:10:35,119.39762715992700000000
1-11-2017-047-02,8188,47,2,2,11,8,2,5N1AR2MN9GC6,5N1,"NISSAN NORTH AMERICA, INC",Nissan NA,"NISSAN MOTOR COMPANY, LTD",NISSAN,Pathfinder,2016,MULTIPURPOSE PASSENGER VEHICLE (MPV),Crossover,,,,Wagon,4,,3500.0,,SMYRNA,TENNESSEE,UNITED STATES (USA),,,,,Standard,,,,,,,,997,Nissan North America Inc.,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,4x2,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd & 3rd Rows,,,0,,,,,5N1AR2MN*GC***,Direct,09OCT19:08:16:39,119.39762715992700000000
1-11-2017-049-03,8201,49,3,1,11,8,2,1G11C5SLXEF1,1G1,GENERAL MOTORS LLC,GM,,CHEVROLET,Malibu,2014,PASSENGER CAR,1LT,,,,Sedan/Saloon,4,LKW,2500.0,,FAIRFAX,KANSAS,UNITED STATES (USA),,,,,,,,,,,,,984,GMNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st & 2nd Rows,All Rows,,,0,,,,,1G11C5SL*EF***,Direct,09OCT19:08:09:20,718.14644365892900000000
1-11-2017-049-03,8201,49,3,2,11,8,2,1VWBP7A36DC1,1VW,VOLKSWAGEN GROUP OF AMERICA,Volkswagen,VOLKSWAGEN AG,VOLKSWAGEN,Passat,2013,PASSENGER CAR,Comfortline,,,,Sedan/Saloon,4,,,,CHATTANOOGA,TENNESSEE,UNITED STATES (USA),,,,,,,,,,,,,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,,,,,1VWBP7A3*DC***,Indirect,09OCT19:08:12:30,718.14644365892900000000
1-11-2017-050-06,8243,50,6,2,11,8,2,1J4GL48K53W7,1J4,FCA US LLC,Chrysler,,JEEP,Liberty,2003,MULTIPURPOSE PASSENGER VEHICLE (MPV),KJ,Sport/Freedom,H Series,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,,3700.0,,TOLEDO,OHIO,UNITED STATES (USA),,,,,,,,,,,,,994,Toledo North Assembly,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,,,6,,Gasoline,,,V-Shaped,,,,,,,,,,,,,,,0,,,,,1J4GL48K*3W***,,09OCT19:08:11:48,6809.55000197747000000000
1-11-2017-051-03,8339,51,3,1,11,8,2,JTEHD20V3460,JTE,"TOYOTA MOTOR NORTH AMERICA, INC",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,RAV4,2004,MULTIPURPOSE PASSENGER VEHICLE (MPV),ACA28L/ACA23L,,,,Wagon,4,2AZ-FE,2400.0,,NAGAKUSA,,JAPAN,,,,,,,,,,,,,962,Toyota Industries Corp,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,4,,Gasoline,,,In-Line,,,,,,,,,,,,,,,0,,,,,JTEHD20V*46***,,09OCT19:08:18:34,1540.97904907861000000000
1-11-2017-051-03,8339,51,3,2,11,8,2,3FA6P0HR8DR1,3FA,"FORD MOTOR COMPANY, MEXICO",Ford,"FORD MOTOR COMPANY, USA",FORD,Fusion,2013,PASSENGER CAR,SE,,,,Sedan/Saloon,4,,1600.0,,HERMOSILLO,,MEXICO,,,,,,,,,,,,,979,Hermosillo,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ford,,4,,Gasoline,,Stoichiometric gasoline direct injection (SGDI),In-Line,,,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st & 2nd Rows,,,,0,,,,,3FA6P0HR*DR***,Direct,09OCT19:08:14:40,1540.97904907861000000000
1-11-2017-053-05,8347,53,5,1,11,8,2,1GCEC14X69Z2,1GC,GENERAL MOTORS LLC,GM,,CHEVROLET,Silverado,2009,TRUCK,1/2 Ton,LS,,,Pickup,2,LU3,4300.0,,FORT WAYNE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,984,,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,,,6,,Gasoline,,Multipoint Fuel Injection (MPFI),V-Shaped,,,,,,,,,,,,,,,0,,,,,1GCEC14X*9Z***,,09OCT19:08:10:20,215.76360545375000000000
1-11-2017-053-05,8347,53,5,2,11,8,2,1N4BA41E68C8,1N4,"NISSAN NORTH AMERICA, INC",Nissan NA,"NISSAN MOTOR COMPANY, LTD",NISSAN,Maxima,2008,PASSENGER CAR,,,,,Sedan/Saloon,4,VQ35DE,3500.0,,SMYRNA,TENNESSEE,UNITED STATES (USA),,,,,,,,,,,,,997,Smyrna Plant,,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,6,,Gasoline,,,,190.15,255.00,270.00,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st Row (Driver & Passenger),,,0,,,,,1N4BA41E*8C***,Direct,09OCT19:08:12:17,215.76360545375000000000
1-11-2017-054-09,8402,54,9,1,11,8,2,JNKCV51F24M7,JNK,"NISSAN MOTOR COMPANY, LTD",Nissan,,INFINITI,G35,2004,PASSENGER CAR,,,,,Sedan/Saloon,4,VQ35DE,3500.0,,,,,,,,,,,,,,,,,996,TOCHIGI PLANT,,,,,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,6,,,,,V-Shaped,,,,,,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),All Rows,,,0,,,,,JNKCV51F*4M***,,09OCT19:08:18:15,11639.62060784460000000000
1-11-2017-055-09,8471,55,9,1,11,8,2,1GCCT14Z3K21,1GC,GENERAL MOTORS LLC,GM,,CHEVROLET,S-10 Pickup,1989,TRUCK,Small Conventional Cab,1/2 ton nominal,,,Pickup,2,,4300.0,,MORAINE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,984,NA - Truck Platform,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,CPC,,6,,Gasoline,,Throttle Body Fuel Injection (TBI),V-Shaped,,,,,,,,,,,,,,,0,,,,,1GCCT14Z*K2***,,09OCT19:08:10:16,12809.28278492300000000000
1-11-2017-056-02,8472,56,2,1,11,8,2,JTEBU5JR9G53,JTE,"TOYOTA MOTOR NORTH AMERICA, INC",Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,4-Runner,2016,MULTIPURPOSE PASSENGER VEHICLE (MPV),GRN280L/GRN285L,Base Grade,,,Wagon,5,1GR-FE,4000,Automatic,TAHARA,,JAPAN,,,,,,,,,,,,,962,Toyota Motor Corp,,,"Class 2E: 6,001 - 7,000 lb (2,722 - 3,175 kg)",,,,,,,,,,,,,,5,4WD/4-Wheel Drive/4x4,,,,,,,,,,,,6,,Gasoline,,,V-Shaped,201.34,270.00,,,,,Manual,,1st Row (Driver & Passenger),1st Row (Driver & Passenger),1st Row (Driver & Passenger),All Rows,,,0,,,,,JTEBU5JR*G5***,Direct,09OCT19:08:18:33,182.45859960946600000000
1-11-2017-056-02,8472,56,2,2,11,8,2,1FTYR10C1YTA,1FT,"FORD MOTOR COMPANY, USA",Ford,,FORD,Ranger,2000,TRUCK,,,,,Pickup,,,2500.0,,EDISON,NEW JERSEY,UNITED STATES (USA),,,,,,,,,,,,,976,,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,4x2,,,,,,,,,,Ford,,4,,Gasoline,,,In-Line,88.74,119.00,,Single Overhead Cam (SOHC),,,Manual,,1st Row (Driver & Passenger),,,,,,0,,Regular,,,1FTYR10C*YT***,,09OCT19:08:09:10,182.45859960946600000000
1-11-2017-057-02,8535,57,2,1,11,8,2,1C4NJDBB3ED7,1C4,FCA US LLC,Chrysler,,JEEP,Compass,2014,MULTIPURPOSE PASSENGER VEHICLE (MPV),,Sport,,,Hatchback/Liftback/Notchback,,,2400.0,,,,,,,,,,,,,,,,,994,Belvidere Assembly,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,4,,Gasoline,,,,,,,,,No,Manual,,1st Row (Driver & Passenger),,All Rows,,,,0,,,,,1C4NJDBB*ED***,Direct,09OCT19:08:07:01,606.20652262610400000000
1-11-2017-058-03,8671,58,3,1,11,8,2,5NPEB4AC9EH8,5NP,HYUNDAI-KIA AMERICA TECHNICAL CENTER INC (HATCI),Hyundia-Kia,,HYUNDAI,Sonata,2014,PASSENGER CAR,GLS/ GLS Popular,,YFA,,Sedan/Saloon,4,GAMMA,1600.0,,,ALABAMA,UNITED STATES (USA),,,,,,,,,,,,,1034,Hyundai Motor Manufacturing Alabama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gasoline,,Multipoint Fuel Injection (MPFI),,,,,Dual Overhead Cam (DOHC),,,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,5NPEB4AC*EH***,Direct,09OCT19:08:16:52,2705.76245215757000000000
1-11-2017-058-03,8671,58,3,2,11,8,2,1FTYR44U82TA,1FT,"FORD MOTOR COMPANY, USA",Ford,,FORD,Ranger,2002,TRUCK,,,,,Pickup,4,,3000.0,,EDISON,NEW JERSEY,UNITED STATES (USA),,,,,,,,,,,,,976,Edison,,,"Class 1C: 4,001 - 5,000 lb (1,814 - 2,268 kg)",,,,,,,,,,,,,,,4x2,,,Hydraulic,,,,,,,Ford,,6,,Gasoline,,,V-Shaped,114.84,154.00,,,,,Manual,,1st Row (Driver & Passenger),,,,,,0,,Extra/Super/ Quad/Double/King/Extended,,,1FTYR44U*2T***,,09OCT19:08:09:13,2705.76245215757000000000
1-11-2017-059-07,8672,59,7,1,11,8,2,1GKDT13WXY22,1GK,GENERAL MOTORS LLC,GM,,GMC,Jimmy Utility,2000,MULTIPURPOSE PASSENGER VEHICLE (MPV),,1/2 ton,,,Sport Utility Vehicle (SUV)/Multi Purpose Vehicle (MPV),4,L35,4300.0,,MORAINE,OHIO,UNITED STATES (USA),,,,,,,,,,,,,984,GM Truck Group,,,"Class 1D: 5,001 - 6,000 lb (2,268 - 2,722 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,WRN,,6,,,,,V-Shaped,,,,,,,,,,,,,,,0,,,,,1GKDT13W*Y2***,,09OCT19:08:10:37,10815.32105872460000000000
1-11-2017-059-07,8672,59,7,2,11,8,2,4S3BMCG65A32,4S3,"FUJI HEAVY INDUSTRIES U.S.A., INC. (C/O SUBARU OF AMERICA)",Subaru,,SUBARU,Legacy,2010,PASSENGER CAR,,Premium+M/R+CWP,,,Sedan/Saloon,4,2.5NA U6,2500.0,Continuously Variable Transmission (CVT),LAFAYETTE,INDIANA,UNITED STATES (USA),,,,,,,,,,,,,1075,SIA,,,,,,,,,,,,,,,,,,AWD/All Wheel Drive,,,,,,,,,,,,,,,,,,,,,,,No,Manual,,1st Row (Driver & Passenger),,1st Row (Driver & Passenger),1st & 2nd Rows,,,0,,,,,4S3BMCG6*A3***,Direct,09OCT19:08:15:47,10815.32105872460000000000
1-11-2017-059-07,8672,59,7,3,11,8,2,3D7KU28D34G2,3D7,CHRYSLER DE MEXICO TOLUCA,Chrysler (Mexico),FCA US LLC,DODGE,Ram,2004,TRUCK,,2500,L (Low Line),,Pickup,,,5700.0,,SALTILLO,COAHUILA,MEXICO,,,,,,,,,,,,,1002,Saltillo Assembly,,,"Class 2G: 8,001 - 9,000 lb (3,629 - 4,082 kg)",,,,,,,,,,,,,,,4WD/4-Wheel Drive/4x4,,,Hydraulic,,,,,,,,,8,,Gasoline,,,V-Shaped,,,,,,,,,,,,,,,0,,,,,3D7KU28D*4G***,,09OCT19:08:14:34,10815.32105872460000000000
1-11-2017-060-03,8779,60,3,1,11,8,2,2T1BURHE9EC0,2T1,TOYOTA MOTOR MANUFACTURING CANADA,Toyota,TOYOTA MOTOR CORPORATION,TOYOTA,Corolla,2014,PASSENGER CAR,ZRE172L,,,,Sedan/Saloon,4,2ZR-FE,1800.0,,CAMBRIDGE,ONTARIO,CANADA,,,,,,,,,,,,,1085,"Toyota Motor Manufacturing, Inc.",,,,,,,,,,,,,,,,,,4x2,,,,,,,,,,,,4,,Gasoline,,Multipoint Fuel Injection (MPFI),In-Line,98.43,132.00,,,,,Manual,,1st Row (Driver & Passenger),Driver Seat Only,1st Row (Driver & Passenger),All Rows,Passenger Seat Only,,0,,,,,2T1BURHE*EC***,Direct,09OCT19:08:14:11,6747.68905404697000000000
