CASEID,PSU,CASENO,CASENUMBER,CATEGORY,VEHNO,EDROBTAINED,EDRMETHOD,CASEWGT,PSUSTRAT,VERSION
8828,21,74,1-21-2017-074-01,1,1,1,3,121.77783636440200000000,11,2
8882,21,75,1-21-2017-075-04,4,1,3,,937.75875424882000000000,11,2
8882,21,75,1-21-2017-075-04,4,2,3,,937.75875424882000000000,11,2
8882,21,75,1-21-2017-075-04,4,3,5,,937.75875424882000000000,11,2
8883,21,76,1-21-2017-076-07,7,1,3,,1176.55804083148000000000,11,2
8883,21,76,1-21-2017-076-07,7,2,3,,1176.55804083148000000000,11,2
8975,21,77,1-21-2017-077-03,3,1,1,1,332.65973799181000000000,11,2
8975,21,77,1-21-2017-077-03,3,2,3,,332.65973799181000000000,11,2
8976,21,78,1-21-2017-078-07,7,1,1,1,1189.66110010860000000000,11,2
9038,21,79,1-21-2017-079-02,2,1,9,,57.22723960478870000000,11,2
9038,21,79,1-21-2017-079-02,2,2,1,2,57.22723960478870000000,11,2
9098,21,80,1-21-2017-080-08,8,1,3,,47.09603702559360000000,11,2
9098,21,80,1-21-2017-080-08,8,2,1,2,47.09603702559360000000,11,2
6131,22,1,1-22-2017-001-02,2,1,3,,57.59449533622260000000,12,2
6131,22,1,1-22-2017-001-02,2,2,1,1,57.59449533622260000000,12,2
6132,22,2,1-22-2017-002-06,6,1,1,1,198.30982324559500000000,12,2
6198,22,3,1-22-2017-003-09,9,1,1,1,358.51160696737600000000,12,2
6198,22,3,1-22-2017-003-09,9,2,1,1,358.51160696737600000000,12,2
6198,22,3,1-22-2017-003-09,9,3,3,,358.51160696737600000000,12,2
6199,22,4,1-22-2017-004-07,7,1,3,,211.33781321392700000000,12,2
6200,22,5,1-22-2017-005-04,4,1,3,,220.13630150836700000000,12,2
6201,22,6,1-22-2017-006-03,3,1,9,,50.66168832681840000000,12,2
6254,22,7,1-22-2017-007-09,9,1,3,,302.83515933275000000000,12,2
6255,22,8,1-22-2017-008-07,7,1,1,1,178.51728952482400000000,12,2
6256,22,9,1-22-2017-009-09,9,1,3,,302.83515934112200000000,12,2
6257,22,10,1-22-2017-010-06,6,1,1,1,94.79705281325800000000,12,2
6257,22,10,1-22-2017-010-06,6,2,1,1,94.79705281325800000000,12,2
6321,22,11,1-22-2017-011-09,9,1,3,,282.52237571216900000000,12,2
6322,22,12,1-22-2017-012-07,7,1,9,,166.54317435051200000000,12,2
6355,22,13,1-22-2017-013-06,6,1,3,,407.93046257922600000000,12,2
6356,22,14,1-22-2017-014-01,1,1,3,,91.25203491962530000000,12,2
6407,22,16,1-22-2017-016-09,9,1,3,,325.05358754972500000000,12,2
6412,22,17,1-22-2017-017-10,10,1,5,,1639.04322553469000000000,12,2
6448,22,18,1-22-2017-018-06,6,1,1,1,156.07118900757200000000,12,2
6448,22,18,1-22-2017-018-06,6,2,3,,156.07118900757200000000,12,2
6449,22,19,1-22-2017-019-03,3,2,3,,102.42124935916300000000,12,2
6500,22,20,1-22-2017-020-09,9,1,1,1,795.82838325283200000000,12,2
6500,22,20,1-22-2017-020-09,9,2,3,,795.82838325283200000000,12,2
6501,22,21,1-22-2017-021-03,3,1,1,3,112.45942594115200000000,12,2
6544,22,22,1-22-2017-022-08,8,1,1,1,135.03227027435800000000,12,2
6545,22,23,1-22-2017-023-07,7,1,2,1,479.84819745560000000000,12,2
6595,22,24,1-22-2017-024-03,3,1,1,1,166.37461575824400000000,12,2
6596,22,25,1-22-2017-025-03,3,1,1,3,166.37461576679500000000,12,2
6638,22,27,1-22-2017-027-08,8,1,3,,80.60029423754150000000,12,2
6638,22,27,1-22-2017-027-08,8,2,3,,80.60029423754150000000,12,2
6649,22,28,1-22-2017-028-06,6,2,3,,104.62562005192100000000,12,2
6677,22,29,1-22-2017-029-04,4,1,1,1,228.21970156356800000000,12,2
6678,22,30,1-22-2017-030-04,4,1,3,,228.21970156899300000000,12,2
6717,22,31,1-22-2017-031-07,7,1,1,1,492.29723624183300000000,12,2
6718,22,32,1-22-2017-032-07,7,1,1,1,492.29723625533400000000,12,2
6718,22,32,1-22-2017-032-07,7,2,3,,492.29723625533400000000,12,2
6755,22,33,1-22-2017-033-04,4,1,1,1,271.69750241830000000000,12,2
6771,22,35,1-22-2017-035-09,9,1,3,,442.48362280590700000000,12,2
6771,22,35,1-22-2017-035-09,9,2,1,1,442.48362280590700000000,12,2
6794,22,36,1-22-2017-036-01,1,1,1,1,96.89001786134840000000,12,2
6795,22,37,1-22-2017-037-03,3,2,1,3,138.60198853582200000000,12,2
6831,22,38,1-22-2017-038-02,2,1,2,1,57.59449533622260000000,12,2
6832,22,39,1-22-2017-039-09,9,1,3,,702.95105788593500000000,12,2
6832,22,39,1-22-2017-039-09,9,2,3,,702.95105788593500000000,12,2
6874,22,40,1-22-2017-040-07,7,1,3,,404.02694742794100000000,12,2
6874,22,40,1-22-2017-040-07,7,2,3,,404.02694742794100000000,12,2
6875,22,41,1-22-2017-041-08,8,1,9,,113.69569845778500000000,12,2
6920,22,44,1-22-2017-044-08,8,1,3,,83.04274410109830000000,12,2
6925,22,45,1-22-2017-045-07,7,1,2,1,144.59741615121700000000,12,2
6960,22,46,1-22-2017-046-01,1,1,1,1,96.89001786134840000000,12,2
6961,22,47,1-22-2017-047-06,6,1,1,1,572.63381011277000000000,12,2
6961,22,47,1-22-2017-047-06,6,2,2,1,572.63381011277000000000,12,2
6961,22,47,1-22-2017-047-06,6,3,3,,572.63381011277000000000,12,2
6992,22,48,1-22-2017-048-03,3,2,1,3,298.49760704647700000000,12,2
7033,22,49,1-22-2017-049-01,1,1,1,3,109.84231520397700000000,12,2
7028,22,50,1-22-2017-050-01,1,1,3,,109.84231520000200000000,12,2
7071,22,52,1-22-2017-052-01,1,1,3,,96.89001786134840000000,12,2
7071,22,52,1-22-2017-052-01,1,2,1,3,96.89001786134840000000,12,2
7072,22,53,1-22-2017-053-04,4,2,3,,134.73478309499800000000,12,2
7091,22,54,1-22-2017-054-10,10,1,3,,501.80548976469300000000,12,2
7128,22,55,1-22-2017-055-06,6,1,3,,151.41385169557500000000,12,2
7128,22,55,1-22-2017-055-06,6,2,1,3,151.41385169557500000000,12,2
7129,22,56,1-22-2017-056-03,3,1,1,1,99.36488572598280000000,12,2
7130,22,57,1-22-2017-057-07,7,1,3,,414.50568178144100000000,12,2
7177,22,58,1-22-2017-058-03,3,1,1,1,99.94744475908390000000,12,2
7177,22,58,1-22-2017-058-03,3,2,1,1,99.94744475908390000000,12,2
7178,22,59,1-22-2017-059-01,1,1,3,,92.64588156526900000000,12,2
7179,22,60,1-22-2017-060-09,9,1,3,,707.28631868317200000000,12,2
7219,22,61,1-22-2017-061-10,10,1,9,,1067.43601941209000000000,12,2
7220,22,62,1-22-2017-062-01,1,1,3,,91.25203491962530000000,12,2
7220,22,62,1-22-2017-062-01,1,2,4,,91.25203491962530000000,12,2
7221,22,63,1-22-2017-063-08,8,1,3,,78.21052727411970000000,12,2
7275,22,64,1-22-2017-064-10,10,1,1,1,147.61596655612600000000,12,2
7276,22,65,1-22-2017-065-10,10,1,4,,240.11221588755000000000,12,2
7276,22,65,1-22-2017-065-10,10,2,5,,240.11221588755000000000,12,2
7321,22,66,1-22-2017-066-04,4,1,1,1,285.13604139823800000000,12,2
7321,22,66,1-22-2017-066-04,4,2,3,,285.13604139823800000000,12,2
7322,22,67,1-22-2017-067-03,3,1,1,1,65.62058670324390000000,12,2
7322,22,67,1-22-2017-067-03,3,2,1,1,65.62058670324390000000,12,2
7323,22,68,1-22-2017-068-03,3,1,1,1,65.62058670661660000000,12,2
7323,22,68,1-22-2017-068-03,3,2,3,,65.62058670661660000000,12,2
7378,22,69,1-22-2017-069-02,2,1,3,,57.59449533622260000000,12,2
7378,22,69,1-22-2017-069-02,2,2,1,3,57.59449533622260000000,12,2
7379,22,70,1-22-2017-070-07,7,1,1,1,329.79358885912500000000,12,2
7380,22,71,1-22-2017-071-04,4,1,1,1,343.52366861375400000000,12,2
7433,22,72,1-22-2017-072-09,9,1,3,,366.95208876298200000000,12,2
7433,22,72,1-22-2017-072-09,9,2,3,,366.95208876298200000000,12,2
7434,22,73,1-22-2017-073-03,3,1,1,3,52.60059946373740000000,12,2
7435,22,74,1-22-2017-074-03,3,1,1,1,51.85442253452010000000,12,2
7435,22,74,1-22-2017-074-03,3,2,1,1,51.85442253452010000000,12,2
7554,22,75,1-22-2017-075-10,10,1,3,,1437.20064662858000000000,12,2
7556,22,77,1-22-2017-077-03,3,1,1,2,85.56016526470580000000,12,2
7556,22,77,1-22-2017-077-03,3,2,1,1,85.56016526470580000000,12,2
7563,22,78,1-22-2017-078-04,4,1,3,,175.01303869750500000000,12,2
7563,22,78,1-22-2017-078-04,4,2,3,,175.01303869750500000000,12,2
7596,22,79,1-22-2017-079-06,6,2,1,3,77.13691138819550000000,12,2
7598,22,81,1-22-2017-081-09,9,1,3,,358.22272855931900000000,12,2
7619,22,82,1-22-2017-082-03,3,1,1,1,50.62086658196620000000,12,2
7673,22,83,1-22-2017-083-01,1,1,3,,167.84368571586900000000,12,2
7738,22,84,1-22-2017-084-04,4,1,1,1,209.46660211457000000000,12,2
7729,22,86,1-22-2017-086-02,2,1,1,1,93.68323915589070000000,12,2
7739,22,87,1-22-2017-087-07,7,1,1,1,201.09456427300800000000,12,2
7781,22,88,1-22-2017-088-09,9,1,3,,303.05820271233400000000,12,2
7781,22,88,1-22-2017-088-09,9,2,1,1,303.05820271233400000000,12,2
7782,22,89,1-22-2017-089-06,6,1,1,3,72.47892167535970000000,12,2
7783,22,90,1-22-2017-090-06,6,1,1,1,65.25820911364750000000,12,2
7846,22,91,1-22-2017-091-08,8,1,3,,125.91235583385500000000,12,2
7846,22,91,1-22-2017-091-08,8,2,3,,125.91235583385500000000,12,2
7847,22,92,1-22-2017-092-02,2,1,1,2,54.24309970837320000000,12,2
7847,22,92,1-22-2017-092-02,2,2,3,,54.24309970837320000000,12,2
7848,22,93,1-22-2017-093-09,9,1,3,,759.03300268266400000000,12,2
7848,22,93,1-22-2017-093-09,9,2,1,1,759.03300268266400000000,12,2
7899,22,94,1-22-2017-094-09,9,1,3,,382.03067567649600000000,12,2
7899,22,94,1-22-2017-094-09,9,2,3,,382.03067567649600000000,12,2
7900,22,95,1-22-2017-095-04,4,1,1,1,234.57767718108100000000,12,2
7901,22,96,1-22-2017-096-09,9,1,3,,382.03067566774700000000,12,2
7968,22,99,1-22-2017-099-10,10,1,3,,1279.90483931947000000000,12,2
7973,22,100,1-22-2017-100-10,10,1,1,1,1279.90483931947000000000,12,2
8008,22,101,1-22-2017-101-10,10,1,3,,8289.13117194951000000000,12,2
8008,22,101,1-22-2017-101-10,10,2,2,1,8289.13117194951000000000,12,2
8088,22,102,1-22-2017-102-03,3,1,1,3,189.34152756178000000000,12,2
8089,22,103,1-22-2017-103-07,7,1,3,,789.84782599354600000000,12,2
8123,22,104,1-22-2017-104-01,1,1,4,,146.18883073197500000000,12,2
8219,22,105,1-22-2017-105-02,2,1,1,1,54.24309970837320000000,12,2
8219,22,105,1-22-2017-105-02,2,2,3,,54.24309970837320000000,12,2
8220,22,106,1-22-2017-106-09,9,1,1,1,1949.08373954124000000000,12,2
8266,22,107,1-22-2017-107-07,7,1,3,,736.17610801726100000000,12,2
8266,22,107,1-22-2017-107-07,7,2,3,,736.17610801726100000000,12,2
8374,22,108,1-22-2017-108-06,6,1,1,1,78.03574184304760000000,12,2
8375,22,109,1-22-2017-109-05,5,1,3,,87.19041119697200000000,12,2
8375,22,109,1-22-2017-109-05,5,2,1,3,87.19041119697200000000,12,2
8425,22,110,1-22-2017-110-05,5,1,1,3,86.78700609320400000000,12,2
8506,22,111,1-22-2017-111-08,8,1,1,1,139.30845791933500000000,12,2
8506,22,111,1-22-2017-111-08,8,2,3,,139.30845791933500000000,12,2
8507,22,112,1-22-2017-112-03,3,1,1,1,118.67144558141200000000,12,2
8507,22,112,1-22-2017-112-03,3,2,1,1,118.67144558141200000000,12,2
8574,22,113,1-22-2017-113-09,9,1,3,,1127.29533376993000000000,12,2
8574,22,113,1-22-2017-113-09,9,2,2,1,1127.29533376993000000000,12,2
8637,22,114,1-22-2017-114-09,9,1,1,1,514.03452797945500000000,12,2
8637,22,114,1-22-2017-114-09,9,2,1,1,514.03452797945500000000,12,2
8638,22,115,1-22-2017-115-04,4,1,1,1,315.63178886863300000000,12,2
8638,22,115,1-22-2017-115-04,4,2,3,,315.63178886863300000000,12,2
8719,22,116,1-22-2017-116-03,3,1,9,,244.34808090325200000000,12,2
8719,22,116,1-22-2017-116-03,3,2,3,,244.34808090325200000000,12,2
8720,22,117,1-22-2017-117-08,8,1,3,,286.84031103618500000000,12,2
8814,22,118,1-22-2017-118-05,5,1,3,,106.50308289546700000000,12,2
8877,22,119,1-22-2017-119-01,1,1,3,,96.89001789784920000000,12,2
8884,22,121,1-22-2017-121-10,10,1,3,,2496.77659890640000000000,12,2
8884,22,121,1-22-2017-121-10,10,2,3,,2496.77659890640000000000,12,2
8961,22,122,1-22-2017-122-06,6,1,1,1,539.98389923128000000000,12,2
8961,22,122,1-22-2017-122-06,6,2,1,3,539.98389923128000000000,12,2
9032,22,123,1-22-2017-123-10,10,1,1,1,1245.48611073169000000000,12,2
9090,22,124,1-22-2017-124-04,4,1,3,,103.01408641243800000000,12,2
6035,23,1,1-23-2017-001-04,4,1,3,,387.00465658639700000000,5,2
6130,23,3,1-23-2017-003-06,6,2,1,1,474.46336912695400000000,5,2
6165,23,4,1-23-2017-004-06,6,1,1,1,561.32670563660400000000,5,2
6166,23,5,1-23-2017-005-04,4,1,1,1,1032.61891630804000000000,5,2
6225,23,7,1-23-2017-007-07,7,2,1,1,440.59354102003700000000,5,2
6296,23,8,1-23-2017-008-03,3,1,6,,361.51035420075700000000,5,2
6345,23,9,1-23-2017-009-03,3,1,1,1,187.82088628250700000000,5,2
6384,23,11,1-23-2017-011-09,9,1,3,,2053.11636469303000000000,5,2
6384,23,11,1-23-2017-011-09,9,2,3,,2053.11636469303000000000,5,2
6385,23,12,1-23-2017-012-03,3,1,1,1,340.44634871142600000000,5,2
6425,23,13,1-23-2017-013-03,3,1,1,1,85.03154327431980000000,5,2
6425,23,13,1-23-2017-013-03,3,2,9,,85.03154327431980000000,5,2
6447,23,15,1-23-2017-015-10,10,1,9,,1418.50836194943000000000,5,2
6485,23,17,1-23-2017-017-04,4,2,1,1,625.37084179376600000000,5,2
6516,23,18,1-23-2017-018-03,3,2,1,1,175.27600976745500000000,5,2
6523,23,19,1-23-2017-019-06,6,1,3,,299.44176983629100000000,5,2
6523,23,19,1-23-2017-019-06,6,2,9,,299.44176983629100000000,5,2
6524,23,20,1-23-2017-020-06,6,2,3,,299.44176983629100000000,5,2
6569,23,21,1-23-2017-021-04,4,1,9,,699.70313598484800000000,5,2
6569,23,21,1-23-2017-021-04,4,2,1,1,699.70313598484800000000,5,2
6570,23,22,1-23-2017-022-10,10,1,3,,3271.52699969684000000000,5,2
6621,23,23,1-23-2017-023-03,3,1,4,,172.98289700003700000000,5,2
6621,23,23,1-23-2017-023-03,3,2,3,,172.98289700003700000000,5,2
6622,23,24,1-23-2017-024-04,4,1,1,1,617.18919809026900000000,5,2
6664,23,25,1-23-2017-025-03,3,1,3,,168.06966907889900000000,5,2
6665,23,26,1-23-2017-026-09,9,1,1,1,1013.57112302861000000000,5,2
6701,23,27,1-23-2017-027-03,3,1,1,1,460.62689378866900000000,5,2
6701,23,27,1-23-2017-027-03,3,2,3,,460.62689378866900000000,5,2
6701,23,27,1-23-2017-027-03,3,4,2,1,460.62689378866900000000,5,2
6737,23,28,1-23-2017-028-03,3,1,1,1,266.70901729306100000000,5,2
6737,23,28,1-23-2017-028-03,3,2,6,,266.70901729306100000000,5,2
6772,23,30,1-23-2017-030-09,9,1,4,,1244.94209992097000000000,5,2
6773,23,31,1-23-2017-031-03,3,1,3,,206.43544592203400000000,5,2
6773,23,31,1-23-2017-031-03,3,2,1,2,206.43544592203400000000,5,2
6813,23,32,1-23-2017-032-03,3,2,1,1,277.45503934483800000000,5,2
6814,23,33,1-23-2017-033-10,10,1,3,,4628.54463438301000000000,5,2
6856,23,34,1-23-2017-034-02,2,1,3,,66.34311433204550000000,5,2
6856,23,34,1-23-2017-034-02,2,2,4,,66.34311433204550000000,5,2
6895,23,37,1-23-2017-037-02,2,1,5,,66.34311433204550000000,5,2
6895,23,37,1-23-2017-037-02,2,2,5,,66.34311433204550000000,5,2
6941,23,38,1-23-2017-038-03,3,2,1,1,237.92598052621000000000,5,2
6935,23,39,1-23-2017-039-03,3,1,1,1,237.92598052621000000000,5,2
6935,23,39,1-23-2017-039-03,3,2,1,1,237.92598052621000000000,5,2
6977,23,40,1-23-2017-040-07,7,1,1,1,999.32880486154200000000,5,2
6978,23,41,1-23-2017-041-03,3,2,1,1,263.11959364713400000000,5,2
7006,23,42,1-23-2017-042-09,9,2,3,,1235.61754218476000000000,5,2
7007,23,43,1-23-2017-043-07,7,1,6,,778.16984529614100000000,5,2
7007,23,43,1-23-2017-043-07,7,2,5,,778.16984529614100000000,5,2
7045,23,44,1-23-2017-044-10,10,1,1,1,2318.01550247619000000000,5,2
7045,23,44,1-23-2017-044-10,10,2,3,,2318.01550247619000000000,5,2
7047,23,46,1-23-2017-046-04,4,1,1,1,495.76932010476400000000,5,2
7088,23,47,1-23-2017-047-07,7,1,1,1,527.73963605833200000000,5,2
7098,23,48,1-23-2017-048-03,3,1,3,,220.63035326734800000000,5,2
7099,23,49,1-23-2017-049-05,5,1,9,,68.47739230354990000000,5,2
7100,23,50,1-23-2017-050-07,7,1,9,,837.95457491669900000000,5,2
7148,23,51,1-23-2017-051-06,6,1,3,,406.75249531183600000000,5,2
7149,23,52,1-23-2017-052-03,3,1,1,1,209.71980600659600000000,5,2
7149,23,52,1-23-2017-052-03,3,2,9,,209.71980600659600000000,5,2
7150,23,53,1-23-2017-053-03,3,1,1,1,209.71980600659600000000,5,2
7150,23,53,1-23-2017-053-03,3,2,1,1,209.71980600659600000000,5,2
7199,23,54,1-23-2017-054-09,9,2,3,,1278.77967815330000000000,5,2
7248,23,57,1-23-2017-057-10,10,2,9,,2861.91202624656000000000,5,2
7249,23,58,1-23-2017-058-03,3,1,1,1,171.55541894208200000000,5,2
7249,23,58,1-23-2017-058-03,3,2,2,1,171.55541894208200000000,5,2
7249,23,58,1-23-2017-058-03,3,3,3,,171.55541894208200000000,5,2
7250,23,59,1-23-2017-059-02,2,2,9,,66.34311433204550000000,5,2
7294,23,60,1-23-2017-060-04,4,1,1,1,3008.74527679183000000000,5,2
7347,23,61,1-23-2017-061-04,4,1,6,,703.85275360393300000000,5,2
7348,23,62,1-23-2017-062-02,3,1,3,,66.34311433204550000000,5,2
7349,23,63,1-23-2017-063-04,4,2,1,1,703.85275360393300000000,5,2
7409,23,64,1-23-2017-064-01,1,1,6,,90.87988786335920000000,5,2
7409,23,64,1-23-2017-064-01,1,2,9,,90.87988786335920000000,5,2
7410,23,65,1-23-2017-065-03,3,2,3,,218.25463655683500000000,5,2
7411,23,66,1-23-2017-066-03,3,1,1,1,218.25463655683500000000,5,2
7512,23,68,1-23-2017-068-03,3,1,1,1,169.64665344708400000000,5,2
7512,23,68,1-23-2017-068-03,3,2,1,1,169.64665344708400000000,5,2
7513,23,69,1-23-2017-069-04,4,1,1,1,605.28574683126800000000,5,2
7571,23,70,1-23-2017-070-07,7,1,1,1,524.47352410438000000000,5,2
7572,23,71,1-23-2017-071-10,10,1,3,,2303.66960608184000000000,5,2
7573,23,72,1-23-2017-072-03,3,1,1,2,138.09194718463500000000,5,2
7573,23,72,1-23-2017-072-03,3,2,1,2,138.09194718463500000000,5,2
7573,23,72,1-23-2017-072-03,3,4,1,1,138.09194718463500000000,5,2
7643,23,73,1-23-2017-073-05,5,1,1,1,68.47739230354990000000,5,2
7643,23,73,1-23-2017-073-05,5,2,3,,68.47739230354990000000,5,2
7644,23,74,1-23-2017-074-03,3,1,5,,210.08503831697700000000,5,2
7644,23,74,1-23-2017-074-03,3,2,5,,210.08503831697700000000,5,2
7696,23,76,1-23-2017-076-06,6,1,9,,544.43308161174900000000,5,2
7696,23,76,1-23-2017-076-06,6,2,1,1,544.43308161174900000000,5,2
7698,23,78,1-23-2017-078-01,1,1,3,,90.87988786335920000000,5,2
7754,23,80,1-23-2017-080-03,3,1,9,,106.53860627661700000000,5,2
7804,23,82,1-23-2017-082-06,6,1,1,1,206.63210011121400000000,5,2
7804,23,82,1-23-2017-082-06,6,2,1,1,206.63210011121400000000,5,2
7811,23,83,1-23-2017-083-09,9,1,3,,491.08334428859900000000,5,2
7812,23,84,1-23-2017-084-07,7,2,7,,309.27551365542200000000,5,2
7812,23,84,1-23-2017-084-07,7,3,7,,309.27551365542200000000,5,2
7813,23,85,1-23-2017-085-06,6,1,3,,157.93598721944000000000,5,2
7869,23,86,1-23-2017-086-03,3,1,3,,619.45994013962600000000,5,2
7869,23,86,1-23-2017-086-03,3,2,3,,619.45994013962600000000,5,2
7923,23,87,1-23-2017-087-07,7,2,3,,547.74658299483300000000,5,2
7924,23,88,1-23-2017-088-03,3,1,5,,144.21965787244100000000,5,2
7924,23,88,1-23-2017-088-03,3,2,1,1,144.21965787244100000000,5,2
7925,23,89,1-23-2017-089-06,6,1,7,,279.71466705814800000000,5,2
7992,23,90,1-23-2017-090-03,3,2,1,2,193.45297331174000000000,5,2
7993,23,91,1-23-2017-091-08,8,1,3,,159.72057021753900000000,5,2
7994,23,92,1-23-2017-092-07,7,2,3,,734.73482509172700000000,5,2
8045,23,93,1-23-2017-093-04,4,1,9,,649.23620202206500000000,5,2
8101,23,96,1-23-2017-096-03,3,1,3,,139.47658097104600000000,5,2
8101,23,96,1-23-2017-096-03,3,2,3,,139.47658097104600000000,5,2
8185,23,99,1-23-2017-099-06,6,1,3,,271.67500210956800000000,5,2
8186,23,100,1-23-2017-100-03,3,1,5,,140.07444181892500000000,5,2
8186,23,100,1-23-2017-100-03,3,3,1,1,140.07444181892500000000,5,2
8187,23,101,1-23-2017-101-03,3,2,1,1,140.07444181892500000000,5,2
8240,23,102,1-23-2017-102-01,1,1,3,,90.87988786335920000000,5,2
8241,23,103,1-23-2017-103-04,4,1,9,,926.71092778357000000000,5,2
8241,23,103,1-23-2017-103-04,4,2,2,1,926.71092778357000000000,5,2
8242,23,104,1-23-2017-104-07,7,1,3,,986.47106209886800000000,5,2
8242,23,104,1-23-2017-104-07,7,3,1,1,986.47106209886800000000,5,2
8341,23,105,1-23-2017-105-09,9,1,3,,1179.01666614142000000000,5,2
8342,23,106,1-23-2017-106-09,9,1,3,,1179.01666614142000000000,5,2
8342,23,106,1-23-2017-106-09,9,2,4,,1179.01666614142000000000,5,2
8343,23,107,1-23-2017-107-03,3,1,1,1,195.50373566759700000000,5,2
8343,23,107,1-23-2017-107-03,3,2,3,,195.50373566759700000000,5,2
8403,23,108,1-23-2017-108-06,6,1,1,1,319.16887261443300000000,5,2
8404,23,109,1-23-2017-109-03,3,1,7,,164.56207354481400000000,5,2
8404,23,109,1-23-2017-109-03,3,2,6,,164.56207354481400000000,5,2
8405,23,110,1-23-2017-110-06,6,1,1,1,319.16887261443300000000,5,2
8405,23,110,1-23-2017-110-06,6,3,2,1,319.16887261443300000000,5,2
8473,23,111,1-23-2017-111-07,7,1,3,,655.66709660861900000000,5,2
8474,23,112,1-23-2017-112-05,5,1,3,,68.47739230354990000000,5,2
8474,23,112,1-23-2017-112-05,5,2,3,,68.47739230354990000000,5,2
8475,23,113,1-23-2017-113-07,7,2,3,,655.66709660861900000000,5,2
8536,23,114,1-23-2017-114-04,4,1,3,,568.59257279991300000000,5,2
8538,23,116,1-23-2017-116-06,6,1,3,,309.08420395816600000000,5,2
8590,23,117,1-23-2017-117-10,10,1,3,,2658.50738416912000000000,5,2
8597,23,118,1-23-2017-118-03,3,1,3,,159.25357551580600000000,5,2
8597,23,118,1-23-2017-118-03,3,2,1,1,159.25357551580600000000,5,2
8598,23,119,1-23-2017-119-03,3,1,7,,159.25357551580600000000,5,2
8598,23,119,1-23-2017-119-03,3,2,9,,159.25357551580600000000,5,2
8599,23,120,1-23-2017-120-07,7,1,1,1,604.84543581185300000000,5,2
8684,23,121,1-23-2017-121-04,4,2,6,,633.05013302774400000000,5,2
8685,23,122,1-23-2017-122-06,6,1,3,,344.12302557765400000000,5,2
8685,23,122,1-23-2017-122-06,6,2,3,,344.12302557765400000000,5,2
8686,23,123,1-23-2017-123-03,3,2,1,1,177.42832557479500000000,5,2
8783,23,124,1-23-2017-124-06,6,1,1,1,1313.16746297990000000000,5,2
8784,23,125,1-23-2017-125-03,3,1,3,,677.06339546653900000000,5,2
8843,23,127,1-23-2017-127-03,3,1,1,1,222.50088883826900000000,5,2
8844,23,128,1-23-2017-128-07,7,1,3,,845.05887319653900000000,5,2
8845,23,129,1-23-2017-129-03,3,1,5,,222.50088883826900000000,5,2
8930,23,131,1-23-2017-131-09,9,1,3,,1438.95135124352000000000,5,2
8995,23,134,1-23-2017-134-08,8,1,3,,65.32347782764800000000,5,2
6095,24,1,1-24-2017-001-07,7,1,1,1,1057.24455000333000000000,1,2
6095,24,1,1-24-2017-001-07,7,2,3,,1057.24455000333000000000,1,2
6195,24,2,1-24-2017-002-02,2,1,3,,71.05684490655630000000,1,2
6195,24,2,1-24-2017-002-02,2,2,9,,71.05684490655630000000,1,2
6196,24,3,1-24-2017-003-03,3,1,9,,359.81830981937600000000,1,2
6196,24,3,1-24-2017-003-03,3,2,1,3,359.81830981937600000000,1,2
6229,24,4,1-24-2017-004-07,7,1,1,3,615.74372518113200000000,1,2
6230,24,5,1-24-2017-005-03,3,2,3,,154.89790283770700000000,1,2
6298,24,8,1-24-2017-008-06,6,1,3,,757.58367996945900000000,1,2
6299,24,9,1-24-2017-009-10,10,1,1,1,7823.58546338710000000000,1,2
6299,24,9,1-24-2017-009-10,10,2,3,,7823.58546338710000000000,1,2
6300,24,10,1-24-2017-010-06,6,1,1,1,757.58367996964900000000,1,2
6342,24,12,1-24-2017-012-03,3,1,1,1,153.32690413730400000000,1,2
6342,24,12,1-24-2017-012-03,3,2,3,,153.32690413730400000000,1,2
6375,24,13,1-24-2017-013-07,7,1,3,,556.16111162618500000000,1,2
6375,24,13,1-24-2017-013-07,7,2,3,,556.16111162618500000000,1,2
6390,24,14,1-24-2017-014-01,1,2,1,3,176.18296182348300000000,1,2
6391,24,15,1-24-2017-015-05,5,1,3,,127.74841654304300000000,1,2
6435,24,16,1-24-2017-016-03,3,1,3,,427.57748639943300000000,1,2
6435,24,16,1-24-2017-016-03,3,2,1,1,427.57748639943300000000,1,2
6435,24,16,1-24-2017-016-03,3,3,9,,427.57748639943300000000,1,2
6464,24,18,1-24-2017-018-10,10,1,3,,8564.08223958803000000000,1,2
6473,24,19,1-24-2017-019-02,2,1,3,,89.59015041285330000000,1,2
6473,24,19,1-24-2017-019-02,2,2,3,,89.59015041285330000000,1,2
6474,24,20,1-24-2017-020-02,2,1,3,,112.52408073289100000000,1,2
6474,24,20,1-24-2017-020-02,2,2,1,2,112.52408073289100000000,1,2
6525,24,21,1-24-2017-021-03,3,1,1,3,494.85789319068600000000,1,2
6525,24,21,1-24-2017-021-03,3,2,1,1,494.85789319068600000000,1,2
6526,24,22,1-24-2017-022-06,6,1,1,2,959.77908203447400000000,1,2
6574,24,23,1-24-2017-023-06,6,1,1,1,1426.27999266478000000000,1,2
6575,24,24,1-24-2017-024-03,3,1,9,,735.38372061719900000000,1,2
6575,24,24,1-24-2017-024-03,3,2,3,,735.38372061719900000000,1,2
6623,24,25,1-24-2017-025-03,3,1,1,1,239.02638156329500000000,1,2
6623,24,25,1-24-2017-025-03,3,2,3,,239.02638156329500000000,1,2
